"Admin Passkey","Passkey admin"
"Security Score Label: Fair","Etichetta punteggio di sicurezza: Sufficiente"
"Security Score Label: Good","Etichetta punteggio di sicurezza: Buono"
"Security Score Label: Excellent","Etichetta punteggio di sicurezza: Eccellente"
"Card: Quick Actions","Scheda: Azioni rapide"
"Support Confirmation Template","Modello di conferma di supporto"
"Confirmation email sent to an administrator after a support request.","Email di conferma inviata a un amministratore dopo una richiesta di supporto."
"Security Alert Template","Modello di avviso di sicurezza"
"Email sent when a critical security event is detected.","Email inviata quando viene rilevato un evento di sicurezza critico."
"Sign in securely with your passkey — no password required.","Accedi in modo sicuro con la tua passkey — nessuna password richiesta."
"Set up a passkey to protect your Admin account.","Configura una passkey per proteggere il tuo account admin."
"Generate a sanitised diagnostics bundle to share with support.","Genera un pacchetto diagnostico depurato da condividere con il supporto."
"Poor","Scarso"
"Fair","Sufficiente"
"Good","Buono"
"Excellent","Eccellente"
"The uploaded SVG contains scripting or external content and was rejected for security reasons.","Il file SVG caricato contiene script o contenuti esterni ed è stato rifiutato per motivi di sicurezza."
"Passkey Adoption","Adozione delle passkey"
"%1 of %2 admins have a passkey.","%1 amministratori su %2 hanno una passkey."
"Admins Without Passkeys","Amministratori senza passkey"
"Administrators that still rely on a password.","Amministratori che dipendono ancora da una password."
"Passkey vs Password Logins","Accessi con passkey rispetto a password"
"Passkey logins: %1, password logins: %2.","Accessi con passkey: %1, accessi con password: %2."
"Active Lockouts","Blocchi attivi"
"Accounts currently locked after failed attempts.","Account attualmente bloccati dopo tentativi falliti."
"Failed Logins (24h)","Accessi falliti (24 h)"
"Failed admin login attempts in the last 24 hours.","Tentativi di accesso admin falliti nelle ultime 24 ore."
"Health Status","Stato di salute"
"Recovery Mode","Modalità di ripristino"
"Enabled","Abilitato"
"Disabled","Disabilitato"
"Enabled at %1.","Abilitato il %1."
"Emergency recovery is not active.","Il ripristino di emergenza non è attivo."
"Active trusted browsers across all admins.","Browser attendibili attivi per tutti gli amministratori."
"Diagnostics Reports","Report diagnostici"
"Support diagnostics bundles generated.","Pacchetti diagnostici di supporto generati."
"Audit Events","Eventi di audit"
"Total recorded security audit events.","Totale degli eventi di audit di sicurezza registrati."
"Last Cleanup","Ultima pulizia"
"Status: %1.","Stato: %1."
"No cleanup run recorded yet.","Nessuna pulizia ancora registrata."
"Last Security Event","Ultimo evento di sicurezza"
"No security events recorded yet.","Nessun evento di sicurezza ancora registrato."
"%1 at %2.","%1 alle %2."
"No score computed yet.","Nessun punteggio ancora calcolato."
"Quick Actions","Azioni rapide"
"Jump to the Admin Passkey management screens.","Vai alle schermate di gestione di Admin Passkey."
"%1 Admin Passkey Security","Sicurezza Admin Passkey di %1"
"Support: %1","Supporto: %1"
"Need help? Contact %email.","Hai bisogno di aiuto? Contatta %email."
"Your admin account has been temporarily locked","Il tuo account admin è stato temporaneamente bloccato"
"Your administrator account has been temporarily locked after repeated failed login attempts.","Il tuo account amministratore è stato temporaneamente bloccato dopo ripetuti tentativi di accesso falliti."
"The lock is scheduled to lift at %until.","Il blocco dovrebbe essere rimosso alle %until."
"If this was not you, please review recent activity and contact support at %email.","Se non sei stato tu, esamina l'attività recente e contatta il supporto all'indirizzo %email."
"Emergency recovery mode was %state","La modalità di ripristino di emergenza è stata %state"
"Emergency recovery mode was %state for the Admin Passkey suite.","La modalità di ripristino di emergenza è stata %state per la suite Admin Passkey."
"Reason:","Motivo:"
"Every recovery action is audited. If you did not expect this change, contact support at %email immediately.","Ogni azione di ripristino viene registrata. Se non ti aspettavi questa modifica, contatta immediatamente il supporto all'indirizzo %email."
"enabled","abilitata"
"disabled","disabilitata"
"We received your support request %reference","Abbiamo ricevuto la tua richiesta di supporto %reference"
"We have received your support request and will get back to you as soon as possible.","Abbiamo ricevuto la tua richiesta di supporto e ti risponderemo il prima possibile."
"Your support reference is %reference. Please quote it in any follow-up.","Il tuo riferimento di supporto è %reference. Indicalo in ogni comunicazione successiva."
"You can also reach us at %email or visit %url.","Puoi anche contattarci all'indirizzo %email o visitare %url."
"Security alert: %event","Avviso di sicurezza: %event"
"A security event was detected on your Magento Admin.","È stato rilevato un evento di sicurezza sul tuo admin di Magento."
"Event:","Evento:"
"Severity:","Gravità:"
"Detected at:","Rilevato il:"
"Please review the Admin Passkey audit log. If you need assistance, contact support at %email.","Esamina il registro di audit di Admin Passkey. Se hai bisogno di assistenza, contatta il supporto all'indirizzo %email."
"eCommerce Management Dashboard","Dashboard di gestione e-commerce"
"Sign in to operate your Magento 2 estate. Live platform health shown below.","Accedi per gestire il tuo ambiente Magento 2. Stato della piattaforma in tempo reale qui sotto."
"Authentication Required","Autenticazione richiesta"
"or continue with credentials","oppure continua con le credenziali"
"or use your credentials","oppure usa le tue credenziali"
"Forgot?","Dimenticata?"
"You'll confirm with 2FA in the next step.","Confermerai con la 2FA nel passaggio successivo."
"Protected by multi-factor authentication","Protetto da autenticazione a più fattori"
"Passwordless · no username","Senza password · senza nome utente"
"Dark mode","Modalità scura"
"Light mode","Modalità chiara"
"System theme","Tema di sistema"
"Sign in to Admin","Accedi all'Admin"
"Secure Access","Accesso sicuro"
"eCommerce","E-commerce"
"Dashboard","Dashboard"
"Use a passkey, or your Magento admin credentials.","Usa una passkey o le tue credenziali admin di Magento."
"Centralised control for your Magento 2 store — sales, catalog, customers and configuration from one hardened interface.","Controllo centralizzato del tuo store Magento 2: vendite, catalogo, clienti e configurazione da un'unica interfaccia protetta."
"Secure Admin Access","Accesso amministratore sicuro"
"No username needed. Authenticate with Touch ID, Face ID, or your hardware security key.","Nessun nome utente richiesto. Autenticati con Touch ID, Face ID o la tua chiave di sicurezza hardware."
"Continue with passkey","Continua con passkey"
"Security policy","Politica di sicurezza"
"Passwordless — no username or password","Senza password — senza nome utente o password"
"Passwordless sign-in","Accesso senza password"
"Sign in with a passkey","Accedi con una passkey"
"Sign in","Accedi"
"Passkey","Passkey"
"Password","Password"
"Colour theme","Tema colore"
