"Admin Passkey","Admin-Passkey"
"This report has no downloadable bundle.","Dieser Bericht hat kein herunterladbares Paket."
"The bundle path is invalid.","Der Paketpfad ist ungültig."
"The bundle file no longer exists on the server.","Die Paketdatei existiert nicht mehr auf dem Server."
"The diagnostics archive could not be created.","Das Diagnosearchiv konnte nicht erstellt werden."
"Health Overview","Systemübersicht"
"Overall status: %1","Gesamtstatus: %1"
"%1 error(s), %2 warning(s).","%1 Fehler, %2 Warnung(en)."
"Check","Prüfung"
"Details","Details"
"Current Security Score","Aktuelle Sicherheitsbewertung"
"Recalculate & Snapshot","Neu berechnen & Momentaufnahme"
"Rating: %1","Bewertung: %1"
"Category Breakdown","Aufschlüsselung nach Kategorie"
"Category","Kategorie"
"Recommendations","Empfehlungen"
"No recommendations — your configuration looks great.","Keine Empfehlungen — Ihre Konfiguration sieht großartig aus."
"Generate Diagnostics Bundle","Diagnosepaket erstellen"
"Bundles never contain passwords, keys or tokens. Logs are sanitised.","Pakete enthalten niemals Passwörter, Schlüssel oder Tokens. Protokolle werden bereinigt."
"Run Cleanup Now","Bereinigung jetzt ausführen"
"Removes expired data per the configured retention windows.","Entfernt abgelaufene Daten gemäß den konfigurierten Aufbewahrungszeiträumen."
"Encourage more administrators to register a passkey.","Ermutigen Sie mehr Administratoren, einen Passkey zu registrieren."
"Enable passkey-first login so passkeys are offered before passwords.","Aktivieren Sie Passkey-zuerst-Login, damit Passkeys vor Passwörtern angeboten werden."
"Consider disabling password fallback once every admin has a passkey.","Erwägen Sie, den Passwort-Fallback zu deaktivieren, sobald jeder Administrator einen Passkey hat."
"Serve the Admin over HTTPS; WebAuthn requires a secure context.","Stellen Sie den Admin über HTTPS bereit; WebAuthn erfordert einen sicheren Kontext."
"Enable lockout protection to throttle brute-force attempts.","Aktivieren Sie den Sperrschutz, um Brute-Force-Versuche zu drosseln."
"Enable scheduled cleanup so expired data does not accumulate.","Aktivieren Sie die geplante Bereinigung, damit sich abgelaufene Daten nicht ansammeln."
"Resolve the failing health checks to improve your score.","Beheben Sie die fehlgeschlagenen Systemprüfungen, um Ihre Bewertung zu verbessern."
"Disable emergency recovery mode now that access is restored.","Deaktivieren Sie den Notfall-Wiederherstellungsmodus, nachdem der Zugriff wiederhergestellt wurde."
"Review the active lockouts for signs of an attack.","Überprüfen Sie die aktiven Sperren auf Anzeichen eines Angriffs."
"Logo","Logo"
"Icon","Symbol"
"Background Image (optional)","Hintergrundbild (optional)"
"Wizard Illustration","Assistenten-Illustration"
"Dashboard Icon","Dashboard-Symbol"
"Accepted: SVG, PNG, JPG, WebP. SVG files are sanitised before storage.","Zulässig: SVG, PNG, JPG, WebP. SVG-Dateien werden vor der Speicherung bereinigt."
"Optional login background. Accepted: SVG, PNG, JPG, WebP.","Optionaler Login-Hintergrund. Zulässig: SVG, PNG, JPG, WebP."
"Illustration shown in the passkey setup wizard. Accepted: SVG, PNG, JPG, WebP.","Illustration, die im Passkey-Einrichtungsassistenten angezeigt wird. Zulässig: SVG, PNG, JPG, WebP."
"Icon shown on the Admin dashboard widget. Accepted: SVG, PNG, JPG, WebP.","Symbol, das im Admin-Dashboard-Widget angezeigt wird. Zulässig: SVG, PNG, JPG, WebP."
"Login Intro Copy","Login-Einleitungstext"
"Text shown above the passkey button on the Admin login. Leave empty for the default.","Text, der über der Passkey-Schaltfläche im Admin-Login angezeigt wird. Für den Standard leer lassen."
"Wizard Intro Copy","Assistenten-Einleitungstext"
"Text shown at the start of the passkey setup wizard. Leave empty for the default.","Text, der zu Beginn des Passkey-Einrichtungsassistenten angezeigt wird. Für den Standard leer lassen."
"Diagnostics Intro Copy","Diagnose-Einleitungstext"
"Text shown on the diagnostics screen. Leave empty for the default.","Text, der auf dem Diagnosebildschirm angezeigt wird. Für den Standard leer lassen."
"Security Score Label: Poor","Sicherheitsbewertungs-Label: Schlecht"
"Security Score Label: Fair","Sicherheitsbewertungs-Label: Ausreichend"
"Security Score Label: Good","Sicherheitsbewertungs-Label: Gut"
"Security Score Label: Excellent","Sicherheitsbewertungs-Label: Ausgezeichnet"
"Card: Quick Actions","Karte: Schnellaktionen"
"Support Confirmation Template","Vorlage Support-Bestätigung"
"Confirmation email sent to an administrator after a support request.","Bestätigungs-E-Mail, die nach einer Support-Anfrage an einen Administrator gesendet wird."
"Security Alert Template","Vorlage Sicherheitswarnung"
"Email sent when a critical security event is detected.","E-Mail, die gesendet wird, wenn ein kritisches Sicherheitsereignis erkannt wird."
"Sign in securely with your passkey — no password required.","Melden Sie sich sicher mit Ihrem Passkey an — kein Passwort erforderlich."
"Set up a passkey to protect your Admin account.","Richten Sie einen Passkey ein, um Ihr Admin-Konto zu schützen."
"Generate a sanitised diagnostics bundle to share with support.","Erstellen Sie ein bereinigtes Diagnosepaket zum Teilen mit dem Support."
"Poor","Schlecht"
"Fair","Ausreichend"
"Good","Gut"
"Excellent","Ausgezeichnet"
"The uploaded SVG contains scripting or external content and was rejected for security reasons.","Die hochgeladene SVG enthält Skripte oder externe Inhalte und wurde aus Sicherheitsgründen abgelehnt."
"Passkey Adoption","Passkey-Einführung"
"%1 of %2 admins have a passkey.","%1 von %2 Administratoren haben einen Passkey."
"Admins Without Passkeys","Administratoren ohne Passkeys"
"Administrators that still rely on a password.","Administratoren, die sich noch auf ein Passwort verlassen."
"Passkey vs Password Logins","Passkey- vs. Passwort-Logins"
"Passkey logins: %1, password logins: %2.","Passkey-Logins: %1, Passwort-Logins: %2."
"Active Lockouts","Aktive Sperren"
"Accounts currently locked after failed attempts.","Konten, die derzeit nach fehlgeschlagenen Versuchen gesperrt sind."
"Failed Logins (24h)","Fehlgeschlagene Logins (24 Std.)"
"Failed admin login attempts in the last 24 hours.","Fehlgeschlagene Admin-Anmeldeversuche in den letzten 24 Stunden."
"Health Status","Systemstatus"
"Recovery Mode","Wiederherstellungsmodus"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Enabled at %1.","Aktiviert am %1."
"Emergency recovery is not active.","Die Notfallwiederherstellung ist nicht aktiv."
"Active trusted browsers across all admins.","Aktive vertrauenswürdige Browser über alle Administratoren."
"Diagnostics Reports","Diagnoseberichte"
"Support diagnostics bundles generated.","Erstellte Support-Diagnosepakete."
"Audit Events","Audit-Ereignisse"
"Total recorded security audit events.","Insgesamt erfasste Sicherheits-Audit-Ereignisse."
"Last Cleanup","Letzte Bereinigung"
"Status: %1.","Status: %1."
"No cleanup run recorded yet.","Noch keine Bereinigung erfasst."
"Last Security Event","Letztes Sicherheitsereignis"
"No security events recorded yet.","Noch keine Sicherheitsereignisse erfasst."
"%1 at %2.","%1 um %2."
"No score computed yet.","Noch keine Bewertung berechnet."
"Quick Actions","Schnellaktionen"
"Jump to the Admin Passkey management screens.","Springen Sie zu den Verwaltungsbildschirmen von Admin-Passkey."
"%1 Admin Passkey Security","%1 Admin-Passkey-Sicherheit"
"Support: %1","Support: %1"
"Need help? Contact %email.","Brauchen Sie Hilfe? Kontaktieren Sie %email."
"Your admin account has been temporarily locked","Ihr Admin-Konto wurde vorübergehend gesperrt"
"Your administrator account has been temporarily locked after repeated failed login attempts.","Ihr Administratorkonto wurde nach wiederholten fehlgeschlagenen Anmeldeversuchen vorübergehend gesperrt."
"The lock is scheduled to lift at %until.","Die Sperre wird voraussichtlich um %until aufgehoben."
"If this was not you, please review recent activity and contact support at %email.","Falls Sie das nicht waren, überprüfen Sie bitte die letzten Aktivitäten und kontaktieren Sie den Support unter %email."
"Emergency recovery mode was %state","Der Notfall-Wiederherstellungsmodus wurde %state"
"Emergency recovery mode was %state for the Admin Passkey suite.","Der Notfall-Wiederherstellungsmodus wurde für die Admin-Passkey-Suite %state."
"Reason:","Grund:"
"Every recovery action is audited. If you did not expect this change, contact support at %email immediately.","Jede Wiederherstellungsaktion wird protokolliert. Wenn Sie diese Änderung nicht erwartet haben, kontaktieren Sie sofort den Support unter %email."
"enabled","aktiviert"
"disabled","deaktiviert"
"We received your support request %reference","Wir haben Ihre Support-Anfrage %reference erhalten"
"We have received your support request and will get back to you as soon as possible.","Wir haben Ihre Support-Anfrage erhalten und melden uns so bald wie möglich bei Ihnen."
"Your support reference is %reference. Please quote it in any follow-up.","Ihre Support-Referenz lautet %reference. Bitte geben Sie sie bei jeder Rückfrage an."
"You can also reach us at %email or visit %url.","Sie erreichen uns auch unter %email oder besuchen Sie %url."
"Security alert: %event","Sicherheitswarnung: %event"
"A security event was detected on your Magento Admin.","In Ihrem Magento-Admin wurde ein Sicherheitsereignis erkannt."
"Event:","Ereignis:"
"Severity:","Schweregrad:"
"Detected at:","Erkannt am:"
"Please review the Admin Passkey audit log. If you need assistance, contact support at %email.","Bitte überprüfen Sie das Admin-Passkey-Audit-Protokoll. Wenn Sie Hilfe benötigen, kontaktieren Sie den Support unter %email."
